"dataset","backend","graph_mode","knn_recall_at_k","affinity_edge_jaccard","affinity_weight_pearson","affinity_weight_spearman","affinity_weight_l1_similarity","umap_graph_edge_jaccard","umap_graph_weight_pearson","umap_graph_weight_spearman","umap_graph_weight_l1_similarity","validation_sample_n","suite","profile","source_file"
"FashionMNIST","cuda","binary",1,1,1,1,1,1,,,1,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/landmark/cuda/20260726_111014_1117520/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cpu","fuzzy",0.999966666666667,0.999908846451848,0.999803956292645,1,0.999966666666667,0.999908846451848,0.99998922025927,0.999998732740387,0.707352356985211,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu1/20260721_084502_1071168/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cpu","binary",0.999966666666667,0.999908846451848,0.999803956292645,1,0.999966666666667,0.999908846451848,-4.55788514129444e-05,,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu1/20260721_084502_1071168/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cpu","fuzzy",0.999966666666667,0.999908846451848,0.999803956292645,1,0.999966666666667,0.999908846451848,0.99998922025927,0.999998732740387,0.707352356985211,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cpu","binary",0.999966666666667,0.999908846451848,0.999803956292645,1,0.999966666666667,0.999908846451848,-4.55788514129444e-05,,0,2000,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cpu4/20260721_084502_1071179/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cuda","fuzzy",1,1,1,1,1,1,0.999999999956214,0.999991247274111,0.987945877855964,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cuda/20260721_193104_1071190/knn_affinity_umap_graph_agreement.csv"
"FashionMNIST","cuda","binary",1,1,1,1,1,1,,,1,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/FashionMNIST/standard/cuda/20260721_193104_1071190/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cuda","fuzzy",1,1,0.999999999999994,0.999999999662407,0.999999988315004,1,0.999999999923857,0.999981986792142,0.973405789609615,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/landmark/cuda/20260726_111146_1117522/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cuda","binary",1,1,0.999999999999994,0.999999999662407,0.999999988315004,1,,,1,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/landmark/cuda/20260726_111146_1117522/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cuda","fuzzy",1,1,0.999999999999994,0.999999999662407,0.999999988315004,1,0.999999999923857,0.999981986792142,0.973405789609615,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260721_193418_1071192/knn_affinity_umap_graph_agreement.csv"
"FlowRepository_FR-FCM-ZYRM_files","cuda","binary",1,1,0.999999999999994,0.999999999662407,0.999999988315004,1,,,1,2000,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/FlowRepository_FR-FCM-ZYRM_files/standard/cuda/20260721_193418_1071192/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","fuzzy",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,0.999940905094897,0.999971325965246,0,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/MNIST/landmark/cpu1/20260726_110549_1117505/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","binary",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,-0.000422507481970468,,0,2000,"landmark","cpu1","/Users/stefano/Documents/fastEmbedR-results/MNIST/landmark/cpu1/20260726_110549_1117505/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","fuzzy",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,0.999940905094897,0.999971325965246,0,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/MNIST/landmark/cpu4/20260726_110110_1117516/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","binary",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,-0.000422507481970468,,0,2000,"landmark","cpu4","/Users/stefano/Documents/fastEmbedR-results/MNIST/landmark/cpu4/20260726_110110_1117516/knn_affinity_umap_graph_agreement.csv"
"MNIST","cuda","fuzzy",1,1,1,1,1,1,0.999999999999873,0.999998430890001,0.999539908138104,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/MNIST/landmark/cuda/20260726_111421_1117527/knn_affinity_umap_graph_agreement.csv"
"MNIST","cuda","binary",1,1,1,1,1,1,,,1,2000,"landmark","cuda","/Users/stefano/Documents/fastEmbedR-results/MNIST/landmark/cuda/20260726_111421_1117527/knn_affinity_umap_graph_agreement.csv"
"MNIST","cpu","fuzzy",0.999683333333333,0.999154035953472,0.998160643655527,0.999902830191502,0.999683333333333,0.999154035953472,0.999940905094897,0.999971325965246,0,2000,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/MNIST/standard/cpu1/20260721_084502_1071175/knn_affinity_umap_graph_agreement.csv"
