"dataset","method","method_label","family","backend","profile","timing_interface","n_runs","runtime","runtime_q1","runtime_q3","dataset_label","display_label"
"flow18","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function",3,398.817,396.601,400.715,"flow18","fastEmbedR fuzzy [CPU]"
"COIL20","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function",3,13.469,13.447,13.8275,"COIL-20","fastEmbedR fuzzy [CPU]"
"Macosko2015_retina","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function",3,17.928,17.3765,18.6075,"Retina","fastEmbedR fuzzy [CPU]"
"MetRef","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function",3,0.669,0.665,0.6835,"MetRef","fastEmbedR fuzzy [CPU]"
"MNIST","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function",3,50.042,49.136,50.1945,"MNIST","fastEmbedR fuzzy [CPU]"
"imagenet","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy","UMAP","cpu","cpu4","R public function",3,1166.129,1142.6765,1180.3525,"ImageNet","fastEmbedR fuzzy [CPU]"
"flow18","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,2.562,2.5545,2.564,"flow18","fastEmbedR binary [CUDA]"
"TabulaMuris","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,0.981,0.969,1.042,"Tabula Muris","fastEmbedR binary [CUDA]"
"MetRef","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,0.578,0.5725,0.5795,"MetRef","fastEmbedR binary [CUDA]"
"Macosko2015_retina","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,0.698,0.697,0.711,"Retina","fastEmbedR binary [CUDA]"
"FlowRepository_FR-FCM-ZYRM_files","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,81.348,81.2575,81.718,"FlowRepository","fastEmbedR binary [CUDA]"
"MNIST","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,1.047,1.0415,1.0535,"MNIST","fastEmbedR binary [CUDA]"
"mass41","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,3.009,2.967,3.0185,"mass41","fastEmbedR binary [CUDA]"
"COIL20","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,0.615,0.608,0.6265,"COIL-20","fastEmbedR binary [CUDA]"
"USPS","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,0.616,0.615,0.621,"USPS","fastEmbedR binary [CUDA]"
"FashionMNIST","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary","UMAP","cuda","cuda","R public function",3,1.04,1.037,1.0475,"Fashion-MNIST","fastEmbedR binary [CUDA]"
"COIL20","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,0.602,0.6,0.6175,"COIL-20","fastEmbedR fuzzy [CUDA]"
"Macosko2015_retina","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,0.656,0.656,0.6675,"Retina","fastEmbedR fuzzy [CUDA]"
"USPS","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,0.628,0.616,0.6345,"USPS","fastEmbedR fuzzy [CUDA]"
"MetRef","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,0.58,0.5735,0.641,"MetRef","fastEmbedR fuzzy [CUDA]"
"mass41","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,2.151,2.1435,2.1565,"mass41","fastEmbedR fuzzy [CUDA]"
"flow18","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,1.77,1.7645,1.772,"flow18","fastEmbedR fuzzy [CUDA]"
"TabulaMuris","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,0.891,0.8695,0.9395,"Tabula Muris","fastEmbedR fuzzy [CUDA]"
"MNIST","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,0.991,0.977,0.9965,"MNIST","fastEmbedR fuzzy [CUDA]"
"FlowRepository_FR-FCM-ZYRM_files","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,76.84,76.797,77.098,"FlowRepository","fastEmbedR fuzzy [CUDA]"
"FashionMNIST","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy","UMAP","cuda","cuda","R public function",3,0.972,0.968,0.9745,"Fashion-MNIST","fastEmbedR fuzzy [CUDA]"
"USPS","umap_package","umap","UMAP","cpu","cpu4","R public function",3,91.252,88.6555,95.805,"USPS","umap [CPU]"
"TabulaMuris","umap_package","umap","UMAP","cpu","cpu4","R public function",3,837.215,828.3415,865.881,"Tabula Muris","umap [CPU]"
"COIL20","umap_package","umap","UMAP","cpu","cpu4","R public function",3,40.474,39.704,41.0005,"COIL-20","umap [CPU]"
"MetRef","umap_package","umap","UMAP","cpu","cpu4","R public function",3,3.827,3.802,3.9105,"MetRef","umap [CPU]"
