"dataset","seed","reference","candidate","backend","procrustes_rmsd","procrustes_correlation","reference_runtime_sec","candidate_runtime_sec","reference_peak_ram_gb","candidate_peak_ram_gb","suite","profile","source_file"
"MNIST",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000192859621190479,0.998698180827999,2.552,2.595,1.22159576416016,1.69289398193359,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu1/20260721_084502_1071175/pca_vs_irlba_agreement.csv"
"MNIST",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000322680232350915,0.996355711367749,2.135,2.535,1.22177124023438,1.68880081176758,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu1/20260721_084502_1071175/pca_vs_irlba_agreement.csv"
"MNIST",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000125661628989831,0.999447320424987,2.066,2.549,1.22190475463867,1.68896484375,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu1/20260721_084502_1071175/pca_vs_irlba_agreement.csv"
"MNIST",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000192858263983878,0.998698199150459,1.429,2.546,1.22805023193359,1.70007705688477,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/pca_vs_irlba_agreement.csv"
"MNIST",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000322688102973615,0.996355533586975,1.223,2.47,1.22808074951172,1.7075080871582,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/pca_vs_irlba_agreement.csv"
"MNIST",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000125661541998118,0.999447321190193,1.286,2.441,1.22838592529297,1.70243835449219,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MNIST/standard/cpu4/20260721_084502_1071186/pca_vs_irlba_agreement.csv"
"Macosko2015_retina",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",2.3258002158829e-05,0.999987880899778,0.693,1.037,0.219120025634766,0.536628723144531,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu1/20260721_084502_1071172/pca_vs_irlba_agreement.csv"
"Macosko2015_retina",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",3.72568922326258e-05,0.999968901544874,0.622,0.991,0.206905364990234,0.536731719970703,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu1/20260721_084502_1071172/pca_vs_irlba_agreement.csv"
"Macosko2015_retina",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",4.11901473081927e-05,0.999961988741017,0.67,0.977,0.218963623046875,0.537132263183594,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu1/20260721_084502_1071172/pca_vs_irlba_agreement.csv"
"Macosko2015_retina",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",2.32582836845507e-05,0.999987880606386,0.622,0.996,0.225498199462891,0.543525695800781,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/pca_vs_irlba_agreement.csv"
"Macosko2015_retina",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",3.72570441756417e-05,0.999968901291219,0.626,0.961,0.225341796875,0.543323516845703,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/pca_vs_irlba_agreement.csv"
"Macosko2015_retina",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",4.11902375932905e-05,0.999961988574382,0.622,0.928,0.225456237792969,0.544471740722656,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/pca_vs_irlba_agreement.csv"
"MetRef",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00202365675533314,0.998212451021424,0.573,0.79,0.199943542480469,0.551074981689453,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu1/20260721_084502_1071174/pca_vs_irlba_agreement.csv"
"MetRef",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00196021949079054,0.998322766012669,0.549,0.771,0.200046539306641,0.475658416748047,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu1/20260721_084502_1071174/pca_vs_irlba_agreement.csv"
"MetRef",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00112635133025483,0.999446226715184,0.576,0.734,0.200031280517578,0.469802856445312,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu1/20260721_084502_1071174/pca_vs_irlba_agreement.csv"
"MetRef",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.002023658493682,0.998212447950364,0.596,0.818,0.185455322265625,0.482219696044922,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260721_084502_1071185/pca_vs_irlba_agreement.csv"
"MetRef",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.0019602236297843,0.998322758929719,0.58,0.828,0.193637847900391,0.482131958007812,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260721_084502_1071185/pca_vs_irlba_agreement.csv"
"MetRef",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.00112635612432017,0.999446222001147,0.58,0.76,0.182506561279297,0.482688903808594,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/MetRef/standard/cpu4/20260721_084502_1071185/pca_vs_irlba_agreement.csv"
"TabulaMuris",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.92556165874377e-05,0.999981442151775,0.843,1.195,0.293838500976562,0.56640625,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu1/20260721_084502_1071176/pca_vs_irlba_agreement.csv"
"TabulaMuris",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",4.88138701377042e-05,0.999880738781619,0.788,1.197,0.293739318847656,0.581584930419922,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu1/20260721_084502_1071176/pca_vs_irlba_agreement.csv"
"TabulaMuris",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",3.67971149106635e-05,0.999932229561302,0.849,1.2,0.293846130371094,0.566825866699219,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu1/20260721_084502_1071176/pca_vs_irlba_agreement.csv"
"TabulaMuris",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.92557241644407e-05,0.999981441944417,0.78,1.239,0.300151824951172,0.60595703125,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/pca_vs_irlba_agreement.csv"
"TabulaMuris",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",4.88143524836872e-05,0.999880736424689,0.771,1.16,0.300106048583984,0.628372192382812,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/pca_vs_irlba_agreement.csv"
"TabulaMuris",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",3.67969431960974e-05,0.999932230193805,0.914,1.193,0.299938201904297,0.581821441650391,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/pca_vs_irlba_agreement.csv"
"USPS",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000247342996419313,0.999663517931673,0.785,0.982,0.229175567626953,0.542877197265625,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu1/20260721_084502_1071177/pca_vs_irlba_agreement.csv"
"USPS",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000700183930847431,0.997303583546406,0.759,0.982,0.226951599121094,0.54266357421875,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu1/20260721_084502_1071177/pca_vs_irlba_agreement.csv"
"USPS",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000388322976686788,0.999170628961774,0.762,0.953,0.226612091064453,0.542858123779297,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu1/20260721_084502_1071177/pca_vs_irlba_agreement.csv"
"USPS",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000247342747635625,0.999663518608556,0.832,1.002,0.233287811279297,0.566200256347656,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/pca_vs_irlba_agreement.csv"
"USPS",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000700187743749717,0.997303554179265,0.768,1.004,0.233470916748047,0.603939056396484,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/pca_vs_irlba_agreement.csv"
"USPS",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000388323814558438,0.999170625382757,0.81,0.94,0.233051300048828,0.615711212158203,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/pca_vs_irlba_agreement.csv"
"flow18",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.94840938255145e-10,0.999999999999981,1.141,1.331,0.545505523681641,0.737667083740234,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu1/20260721_084502_1071169/pca_vs_irlba_agreement.csv"
"flow18",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.9484093883355e-10,0.999999999999981,1.048,1.468,0.545650482177734,0.749641418457031,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu1/20260721_084502_1071169/pca_vs_irlba_agreement.csv"
"flow18",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.9484093755509e-10,0.999999999999981,1.101,1.368,0.545421600341797,0.732994079589844,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu1/20260721_084502_1071169/pca_vs_irlba_agreement.csv"
"flow18",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.9484093850525e-10,0.999999999999981,1.023,1.409,0.551834106445312,0.756401062011719,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/pca_vs_irlba_agreement.csv"
"flow18",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.94840941741619e-10,0.999999999999981,0.925,1.413,0.551883697509766,0.756546020507812,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/pca_vs_irlba_agreement.csv"
"flow18",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.948409380477e-10,0.999999999999981,0.973,1.318,0.552196502685547,0.756797790527344,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/pca_vs_irlba_agreement.csv"
"imagenet",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000248092644257768,0.960572111111982,25.96,37.802,28.3500862121582,29.9002876281738,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260721_084502_1071182/pca_vs_irlba_agreement.csv"
"imagenet",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000196193746372079,0.975342668812174,20.46,53.533,28.268985748291,29.8882293701172,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260721_084502_1071182/pca_vs_irlba_agreement.csv"
"imagenet",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",0.000248489308070668,0.960445931478431,20.108,51.408,28.3264350891113,29.9000663757324,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/imagenet/standard/cpu4/20260721_084502_1071182/pca_vs_irlba_agreement.csv"
"mass41",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",2.38340326279975e-07,0.999999972583042,1.133,1.565,0.536365509033203,0.819171905517578,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu1/20260721_084502_1071173/pca_vs_irlba_agreement.csv"
"mass41",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.7041074376801e-06,0.999998598419147,1.103,1.506,0.536441802978516,0.819198608398438,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu1/20260721_084502_1071173/pca_vs_irlba_agreement.csv"
"mass41",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.04189941152072e-06,0.999999476066947,1.099,1.541,0.53948974609375,0.767196655273438,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu1/20260721_084502_1071173/pca_vs_irlba_agreement.csv"
"mass41",4,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",2.38340308523736e-07,0.999999972583046,0.904,1.523,0.542762756347656,0.825916290283203,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260721_084502_1071184/pca_vs_irlba_agreement.csv"
"mass41",17,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.70410741972519e-06,0.999998598419176,0.878,1.388,0.543025970458984,0.825809478759766,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260721_084502_1071184/pca_vs_irlba_agreement.csv"
"mass41",42,"irlba::prcomp_irlba","fastEmbedR_pca_cpu","cpu",1.04189941230446e-06,0.999999476066946,0.876,1.391,0.566936492919922,0.826126098632812,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260721_084502_1071184/pca_vs_irlba_agreement.csv"
