"dataset","method","backend","status","n","p","cpu_threads","timing_mode","runtime_sec","process_elapsed_sec","python_fit_sec","max_rss_gb","trustworthiness","nn_preservation","silhouette","knn_label_accuracy","knn_preservation_15","knn_preservation_50","quality_sample_n","plot_file","error","key_manuscript_dataset","suite","profile","seed","source_file"
"COIL20","python_umap_learn","cpu","success",1440,16384,1,"reticulate",18.973,18.973,,,0.983820931022766,0.735949074074074,0.496717871302578,0.825694444444444,0.721944444444444,0.705930555555556,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu1/20260721_084502_1071200/seed_42/plots/COIL20_python_umap_learn_threads1_seed42.png",,FALSE,"python","cpu1","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu1/20260721_084502_1071200/seed_42/embedding_quality_table.csv"
"COIL20","python_umap_learn_direct","cpu","success",1440,16384,1,"native_python_process",16.8566316738725,17.907,16.8566316738725,,0.983820931022766,0.735949074074074,0.496717871302578,0.825694444444444,0.721944444444444,0.705930555555556,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu1/20260721_084502_1071200/seed_42/plots/COIL20_python_umap_learn_direct_threads1_seed42.png",,FALSE,"python","cpu1","42","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu1/20260721_084502_1071200/seed_42/embedding_quality_table.csv"
"COIL20","python_opentsne_fft","cpu","success",1440,16384,4,"reticulate",36.631,36.631,,,0.983037520583392,0.738240740740741,0.422516714344652,0.861111111111111,0.78912037037037,0.7095,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_17/plots/COIL20_python_opentsne_fft_threads4_seed17.png",,FALSE,"python","cpu4","17","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_17/embedding_quality_table.csv"
"COIL20","python_opentsne_fft_direct","cpu","success",1440,16384,4,"native_python_process",30.9538748310879,32.444,30.9538748310879,,0.983037520583392,0.738240740740741,0.422516715688136,0.861111111111111,0.78912037037037,0.7095,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_17/plots/COIL20_python_opentsne_fft_direct_threads4_seed17.png",,FALSE,"python","cpu4","17","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_17/embedding_quality_table.csv"
"COIL20","python_umap_learn","cpu","success",1440,16384,4,"reticulate",21.036,21.036,,,0.980495373637575,0.728703703703704,0.471931690402941,0.809027777777778,0.70337962962963,0.699486111111111,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_17/plots/COIL20_python_umap_learn_threads4_seed17.png",,FALSE,"python","cpu4","17","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_17/embedding_quality_table.csv"
"COIL20","python_umap_learn_direct","cpu","success",1440,16384,4,"native_python_process",19.3118180399761,20.805,19.3118180399761,,0.980495373637575,0.728703703703704,0.471931690402941,0.809027777777778,0.70337962962963,0.699486111111111,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_17/plots/COIL20_python_umap_learn_direct_threads4_seed17.png",,FALSE,"python","cpu4","17","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_17/embedding_quality_table.csv"
"COIL20","python_opentsne_fft","cpu","success",1440,16384,4,"reticulate",40.573,40.573,,,0.98163157688387,0.733078703703704,0.410865024930904,0.913888888888889,0.785185185185185,0.705680555555556,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/plots/COIL20_python_opentsne_fft_threads4_seed4.png",,FALSE,"python","cpu4","4","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/embedding_quality_table.csv"
"COIL20","python_opentsne_fft_direct","cpu","success",1440,16384,4,"native_python_process",33.0831296551041,34.352,33.0831296551041,,0.98163157688387,0.733078703703704,0.410865023508728,0.913888888888889,0.785185185185185,0.705680555555556,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/plots/COIL20_python_opentsne_fft_direct_threads4_seed4.png",,FALSE,"python","cpu4","4","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/embedding_quality_table.csv"
"COIL20","python_umap_learn","cpu","success",1440,16384,4,"reticulate",20.627,20.627,,,0.983754998823806,0.734953703703704,0.460967509552437,0.820833333333333,0.71962962962963,0.707277777777778,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/plots/COIL20_python_umap_learn_threads4_seed4.png",,FALSE,"python","cpu4","4","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/embedding_quality_table.csv"
"COIL20","python_umap_learn_direct","cpu","success",1440,16384,4,"native_python_process",19.4642508192919,20.694,19.4642508192919,,0.983754998823806,0.734953703703704,0.460967509552437,0.820833333333333,0.71962962962963,0.707277777777778,1440,"/scratch/firenze/NN/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/plots/COIL20_python_umap_learn_direct_threads4_seed4.png",,FALSE,"python","cpu4","4","/Users/stefano/Documents/fastEmbedR-results/COIL20/python/cpu4/20260721_084502_1071211/seed_4/embedding_quality_table.csv"
