"dataset","reference","status","edge_jaccard","weight_pearson","weight_spearman","weight_l1_similarity","validation_sample_n","error","suite","profile","source_file"
"USPS","Python openTSNE exact affinity","success",0.998878163928296,0.996517180090065,0.819941697082789,0.999275765811679,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu1/20260721_084502_1071177/tsne_affinity_agreement_vs_python_opentsne.csv"
"USPS","Python openTSNE exact affinity","success",0.99901832460733,0.996320625011742,0.819774571697135,0.999242230179724,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cpu4/20260721_084502_1071188/tsne_affinity_agreement_vs_python_opentsne.csv"
"USPS","Python openTSNE exact affinity","success",0.998878163928296,0.996517180090065,0.819941697082789,0.999275765811679,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/USPS/standard/cuda/20260722_160038_1071199/tsne_affinity_agreement_vs_python_opentsne.csv"
"flow18","Python openTSNE exact affinity","success",1,0.999964807264136,0.998379584792764,0.998805601108194,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu1/20260721_084502_1071169/tsne_affinity_agreement_vs_python_opentsne.csv"
"flow18","Python openTSNE exact affinity","success",1,0.999964807264136,0.998379584792764,0.998805601108194,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cpu4/20260721_084502_1071180/tsne_affinity_agreement_vs_python_opentsne.csv"
"flow18","Python openTSNE exact affinity","success",1,0.999964807264136,0.998379584792764,0.998805601108194,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/flow18/standard/cuda/20260721_193325_1071191/tsne_affinity_agreement_vs_python_opentsne.csv"
"imagenet","Python openTSNE exact affinity","not_available",,,,,,"validation cache is missing","standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/imagenet/standard/cpu1/20260721_084502_1071171/tsne_affinity_agreement_vs_python_opentsne.csv"
"imagenet","Python openTSNE exact affinity","success",1,0.999992841146946,0.743759835256229,0.999845122889852,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/imagenet/standard/cpu4/20260721_084502_1071182/tsne_affinity_agreement_vs_python_opentsne.csv"
"mass41","Python openTSNE exact affinity","success",1,0.999966070811677,0.998463380317083,0.998833644246059,2000,,"standard","cpu1","/Users/stefano/Documents/fastEmbedR-results/mass41/standard/cpu1/20260721_084502_1071173/tsne_affinity_agreement_vs_python_opentsne.csv"
"mass41","Python openTSNE exact affinity","success",1,0.999966070811677,0.998463380317083,0.998833644246059,2000,,"standard","cpu4","/Users/stefano/Documents/fastEmbedR-results/mass41/standard/cpu4/20260721_084502_1071184/tsne_affinity_agreement_vs_python_opentsne.csv"
"mass41","Python openTSNE exact affinity","success",1,0.999966070811677,0.998463380317083,0.998833644246059,2000,,"standard","cuda","/Users/stefano/Documents/fastEmbedR-results/mass41/standard/cuda/20260722_125342_1071195/tsne_affinity_agreement_vs_python_opentsne.csv"
