"dataset","method","family","backend","timing_scope","requested_threads","effective_threads","n","p","k","perplexity","input_type","landmark_fraction","n_runs","n_success","status","total_runtime_sec_median","total_runtime_sec_q1","total_runtime_sec_q3","total_runtime_sec_iqr","total_runtime_sec_sd","total_runtime_sec_min","total_runtime_sec_max","preprocess_sec_median","preprocess_sec_q1","preprocess_sec_q3","preprocess_sec_iqr","preprocess_sec_sd","preprocess_sec_min","preprocess_sec_max","knn_sec_median","knn_sec_q1","knn_sec_q3","knn_sec_iqr","knn_sec_sd","knn_sec_min","knn_sec_max","init_sec_median","init_sec_q1","init_sec_q3","init_sec_iqr","init_sec_sd","init_sec_min","init_sec_max","graph_or_affinity_sec_median","graph_or_affinity_sec_q1","graph_or_affinity_sec_q3","graph_or_affinity_sec_iqr","graph_or_affinity_sec_sd","graph_or_affinity_sec_min","graph_or_affinity_sec_max","embedding_sec_median","embedding_sec_q1","embedding_sec_q3","embedding_sec_iqr","embedding_sec_sd","embedding_sec_min","embedding_sec_max","peak_ram_gb_median","peak_ram_gb_q1","peak_ram_gb_q3","peak_ram_gb_iqr","peak_ram_gb_sd","peak_ram_gb_min","peak_ram_gb_max","peak_gpu_mb_median","peak_gpu_mb_q1","peak_gpu_mb_q3","peak_gpu_mb_iqr","peak_gpu_mb_sd","peak_gpu_mb_min","peak_gpu_mb_max","peak_gpu_delta_mb_median","peak_gpu_delta_mb_q1","peak_gpu_delta_mb_q3","peak_gpu_delta_mb_iqr","peak_gpu_delta_mb_sd","peak_gpu_delta_mb_min","peak_gpu_delta_mb_max","trustworthiness_median","trustworthiness_q1","trustworthiness_q3","trustworthiness_iqr","trustworthiness_sd","trustworthiness_min","trustworthiness_max","knn_preservation_15_median","knn_preservation_15_q1","knn_preservation_15_q3","knn_preservation_15_iqr","knn_preservation_15_sd","knn_preservation_15_min","knn_preservation_15_max","knn_preservation_30_median","knn_preservation_30_q1","knn_preservation_30_q3","knn_preservation_30_iqr","knn_preservation_30_sd","knn_preservation_30_min","knn_preservation_30_max","knn_preservation_50_median","knn_preservation_50_q1","knn_preservation_50_q3","knn_preservation_50_iqr","knn_preservation_50_sd","knn_preservation_50_min","knn_preservation_50_max","silhouette_median","silhouette_q1","silhouette_q3","silhouette_iqr","silhouette_sd","silhouette_min","silhouette_max","label_knn_accuracy_median","label_knn_accuracy_q1","label_knn_accuracy_q3","label_knn_accuracy_iqr","label_knn_accuracy_sd","label_knn_accuracy_min","label_knn_accuracy_max","tsne_kl_median","tsne_kl_q1","tsne_kl_q3","tsne_kl_iqr","tsne_kl_sd","tsne_kl_min","tsne_kl_max","n_landmarks_median","n_landmarks_q1","n_landmarks_q3","n_landmarks_iqr","n_landmarks_sd","n_landmarks_min","n_landmarks_max","reference_embedding_sec_median","reference_embedding_sec_q1","reference_embedding_sec_q3","reference_embedding_sec_iqr","reference_embedding_sec_sd","reference_embedding_sec_min","reference_embedding_sec_max","landmark_projection_knn_sec_median","landmark_projection_knn_sec_q1","landmark_projection_knn_sec_q3","landmark_projection_knn_sec_iqr","landmark_projection_knn_sec_sd","landmark_projection_knn_sec_min","landmark_projection_knn_sec_max","landmark_refinement_sec_median","landmark_refinement_sec_q1","landmark_refinement_sec_q3","landmark_refinement_sec_iqr","landmark_refinement_sec_sd","landmark_refinement_sec_min","landmark_refinement_sec_max","landmark_transform_sec_median","landmark_transform_sec_q1","landmark_transform_sec_q3","landmark_transform_sec_iqr","landmark_transform_sec_sd","landmark_transform_sec_min","landmark_transform_sec_max","kodama_core_sec_median","kodama_core_sec_q1","kodama_core_sec_q3","kodama_core_sec_iqr","kodama_core_sec_sd","kodama_core_sec_min","kodama_core_sec_max","kodama_visualization_sec_median","kodama_visualization_sec_q1","kodama_visualization_sec_q3","kodama_visualization_sec_iqr","kodama_visualization_sec_sd","kodama_visualization_sec_min","kodama_visualization_sec_max","kodama_core_peak_ram_gb_median","kodama_core_peak_ram_gb_q1","kodama_core_peak_ram_gb_q3","kodama_core_peak_ram_gb_iqr","kodama_core_peak_ram_gb_sd","kodama_core_peak_ram_gb_min","kodama_core_peak_ram_gb_max","kodama_visualization_peak_ram_gb_median","kodama_visualization_peak_ram_gb_q1","kodama_visualization_peak_ram_gb_q3","kodama_visualization_peak_ram_gb_iqr","kodama_visualization_peak_ram_gb_sd","kodama_visualization_peak_ram_gb_min","kodama_visualization_peak_ram_gb_max","kodama_core_peak_gpu_delta_mb_median","kodama_core_peak_gpu_delta_mb_q1","kodama_core_peak_gpu_delta_mb_q3","kodama_core_peak_gpu_delta_mb_iqr","kodama_core_peak_gpu_delta_mb_sd","kodama_core_peak_gpu_delta_mb_min","kodama_core_peak_gpu_delta_mb_max","kodama_visualization_peak_gpu_delta_mb_median","kodama_visualization_peak_gpu_delta_mb_q1","kodama_visualization_peak_gpu_delta_mb_q3","kodama_visualization_peak_gpu_delta_mb_iqr","kodama_visualization_peak_gpu_delta_mb_sd","kodama_visualization_peak_gpu_delta_mb_min","kodama_visualization_peak_gpu_delta_mb_max","implementation"
"MetRef","irlba_pca","PCA","cpu","pca_only",4,4,873,375,,,"standard_R_double",,3,3,"success",0.364,0.3635,0.3725,0.00900000000000001,0.0101159939369957,0.363,0.381,,,,,,,,,,,,,,,0.364,0.3635,0.3725,0.00900000000000001,0.0101159939369957,0.363,0.381,,,,,,,,,,,,,,,0.2261962890625,0.226066589355469,0.227218627929688,0.00115203857421875,0.00126205959971632,0.225936889648438,0.228240966796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (4t)"
"TabulaMuris","fastEmbedR_pca_cpu","PCA","cpu","pca_only",1,1,100102,50,,,"float32",,3,3,"success",0.662,0.644,0.6655,0.0215,0.0230723499742296,0.626,0.669,,,,,,,,,,,,,,,0.662,0.644,0.6655,0.0215,0.0230723499742296,0.626,0.669,,,,,,,,,,,,,,,0.364547729492188,0.363746643066406,0.36492919921875,0.00118255615234375,0.00120711713524433,0.362945556640625,0.365310668945312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)"
"TabulaMuris","fastEmbedR_pca_cpu","PCA","cpu","pca_only",4,4,100102,50,,,"float32",,3,3,"success",0.629,0.625,0.636,0.011,0.0111355287256601,0.621,0.643,,,,,,,,,,,,,,,0.629,0.625,0.636,0.011,0.0111355287256601,0.621,0.643,,,,,,,,,,,,,,,0.36529541015625,0.364356994628906,0.366188049316406,0.0018310546875,0.00183124541243021,0.363418579101562,0.367080688476562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)"
"TabulaMuris","fastEmbedR_pca_metal","PCA","metal","pca_only",4,,100102,50,,,"float32",,3,3,"success",0.122,0.119,0.1605,0.0415,0.0462853468533329,0.116,0.199,,,,,,,,,,,,,,,0.122,0.119,0.1605,0.0415,0.0462853468533329,0.116,0.199,,,,,,,,,,,,,,,0.17578125,0.175376892089844,0.18487548828125,0.00949859619140625,0.0107421911124021,0.174972534179688,0.1939697265625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metal"
"TabulaMuris","irlba_pca","PCA","cpu","pca_only",1,1,100102,50,,,"standard_R_double",,3,3,"success",0.629,0.627,0.649,0.022,0.0243310501211929,0.625,0.669,,,,,,,,,,,,,,,0.629,0.627,0.649,0.022,0.0243310501211929,0.625,0.669,,,,,,,,,,,,,,,0.32220458984375,0.3216552734375,0.328483581542969,0.00682830810546875,0.00758741400198353,0.32110595703125,0.334762573242188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (1t)"
"TabulaMuris","irlba_pca","PCA","cpu","pca_only",4,4,100102,50,,,"standard_R_double",,3,3,"success",0.636,0.635,0.6385,0.00350000000000006,0.00360555127546399,0.634,0.641,,,,,,,,,,,,,,,0.636,0.635,0.6385,0.00350000000000006,0.00360555127546399,0.634,0.641,,,,,,,,,,,,,,,0.3148193359375,0.314659118652344,0.317123413085938,0.00246429443359375,0.00275767875091303,0.314498901367188,0.319427490234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (4t)"
"USPS","fastEmbedR_pca_cpu","PCA","cpu","pca_only",1,1,11000,256,,,"float32",,3,3,"success",0.505,0.5035,0.523,0.0195,0.0217025344142107,0.502,0.541,,,,,,,,,,,,,,,0.505,0.5035,0.523,0.0195,0.0217025344142107,0.502,0.541,,,,,,,,,,,,,,,0.291793823242188,0.291725158691406,0.292724609375,0.00099945068359375,0.00111653610615034,0.291656494140625,0.293655395507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (1t)"
"USPS","fastEmbedR_pca_cpu","PCA","cpu","pca_only",4,4,11000,256,,,"float32",,3,3,"success",0.512,0.507,0.5195,0.0125000000000001,0.0125830573921179,0.502,0.527,,,,,,,,,,,,,,,0.512,0.507,0.5195,0.0125000000000001,0.0125830573921179,0.502,0.527,,,,,,,,,,,,,,,0.294296264648438,0.2921142578125,0.29449462890625,0.00238037109375,0.00264154863098853,0.289932250976562,0.294692993164062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CPU (4t)"
"USPS","fastEmbedR_pca_metal","PCA","metal","pca_only",4,,11000,256,,,"float32",,3,3,"success",0.095,0.0905,0.1225,0.032,0.0346458270695525,0.086,0.15,,,,,,,,,,,,,,,0.095,0.0905,0.1225,0.032,0.0346458270695525,0.086,0.15,,,,,,,,,,,,,,,0.158203125,0.158065795898438,0.158905029296875,0.0008392333984375,0.000900311657579569,0.157928466796875,0.15960693359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metal"
"USPS","irlba_pca","PCA","cpu","pca_only",1,1,11000,256,,,"standard_R_double",,3,3,"success",0.54,0.5365,0.54,0.00350000000000006,0.00404145188432738,0.533,0.54,,,,,,,,,,,,,,,0.54,0.5365,0.54,0.00350000000000006,0.00404145188432738,0.533,0.54,,,,,,,,,,,,,,,0.25726318359375,0.257110595703125,0.263130187988281,0.00601959228515625,0.00686442592449541,0.2569580078125,0.268997192382812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (1t)"
"USPS","irlba_pca","PCA","cpu","pca_only",4,4,11000,256,,,"standard_R_double",,3,3,"success",0.574,0.568,0.674,0.106,0.119085403527608,0.562,0.774,,,,,,,,,,,,,,,0.574,0.568,0.674,0.106,0.119085403527608,0.562,0.774,,,,,,,,,,,,,,,0.245071411132812,0.244865417480469,0.249397277832031,0.0045318603515625,0.00511815815375543,0.244659423828125,0.25372314453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"irlba (4t)"
