"family","profile","matched_datasets","landmark_fraction_median","speedup_median","speedup_q1","speedup_q3","speedup_min","speedup_max","trustworthiness_delta_median","preservation30_delta_median"
"UMAP","cpu4",10,0.200000544951518,4.18711630339645,2.70272790086808,4.64724379525699,1.42083333333333,7.90638873043823,-0.001674329792615,-0.00797500000000051
"t-SNE","cpu4",10,0.200000544951518,1.68377857686984,1.45432826579377,1.97403975240684,1.2125317527519,2.07450145641945,-0.00276267914348355,-0.0105519701213815
"UMAP","cuda",11,0.200000468323021,0.77277716794731,0.645446652322325,0.970974189349965,0.307653575025176,4.81285898487868,-0.000727802227656005,-0.008033333333333
"t-SNE","cuda",11,0.200000468323021,0.929366231253024,0.838903850407481,1.66792738888618,0.776940669985201,2.94062350119904,-0.000645169448659,-0.00698333333333401
