"dataset","method","backend","profile","n_runs","runtime_sec_median","runtime_sec_q1","runtime_sec_q3","trustworthiness_median","nn_preservation_median","silhouette_median","label_accuracy_median"
"MNIST","rapids_cuml_umap_full","cuda","cuda",3,4.099,4.0905,4.1205,0.942812032993692,0.4018,0.44339429147704,0.956
"Macosko2015_retina","rapids_cuml_umap_full","cuda","cuda",3,3.157,3.151,3.2065,0.921325734333595,0.368966666666667,0.313130502788949,0.974
"MetRef","rapids_cuml_umap_full","cuda","cuda",3,3.009,3.007,3.014,0.851794263639018,0.408514700267278,0.135019719303648,0.710194730813288
"TabulaMuris","rapids_cuml_umap_full","cuda","cuda",3,3.638,3.622,3.6435,0.988253655805621,0.633933333333333,0.0432028633196496,0.84
"USPS","rapids_cuml_umap_full","cuda","cuda",3,2.979,2.9775,2.987,0.916187444481768,0.348288888888889,0.127528904964928,0.725333333333333
"flow18","rapids_cuml_umap_full","cuda","cuda",3,12.095,11.9695,12.1205,0.96461352592095,0.366777777777778,0.378274170764529,0.954
"imagenet","rapids_cuml_umap_full","cuda","cuda",3,326.833,326.189,327.8085,0.766068480573284,0.227344444444444,0.0756609961461748,0.194666666666667
"mass41","rapids_cuml_umap_full","cuda","cuda",3,9.576,9.5345,9.6345,0.967315000186616,0.339055555555556,0.300449679226527,0.889666666666667
"COIL20","rapids_cuml_umap_full_direct","cuda","cuda",3,1.86406767833978,1.86252010241151,1.86959386244417,0.978636725999111,0.716203703703704,0.442763743240997,0.8
"FashionMNIST","rapids_cuml_umap_full_direct","cuda","cuda",3,2.60256805364043,2.59907742682844,2.60710952151567,0.952938580972642,0.401433333333333,0.198294822701428,0.764333333333333
"FlowRepository_FR-FCM-ZYRM_files","rapids_cuml_umap_full_direct","cuda","cuda",3,197.748181656934,196.814913364127,197.921184864827,0.947252342029635,0.322355555555556,-0.186138102990865,0.441666666666667
"MNIST","rapids_cuml_umap_full_direct","cuda","cuda",3,2.56984229385853,2.56647183792666,2.57658606069162,0.942812032993692,0.4018,0.44339429147704,0.956
"Macosko2015_retina","rapids_cuml_umap_full_direct","cuda","cuda",3,1.93199953064322,1.92589293187484,1.94116666447371,0.921325734333595,0.368966666666667,0.313130502788949,0.974
"MetRef","rapids_cuml_umap_full_direct","cuda","cuda",3,1.79930601175874,1.79632379487157,1.7995433663018,0.851794263639018,0.408514700267278,0.135019719303648,0.710194730813288
"TabulaMuris","rapids_cuml_umap_full_direct","cuda","cuda",3,2.3722264803946,2.35661225859076,2.37270225817337,0.988253655805621,0.633933333333333,0.0432028633196496,0.84
"USPS","rapids_cuml_umap_full_direct","cuda","cuda",3,1.75825468637049,1.75695904763416,1.77371809491888,0.916187444481768,0.348288888888889,0.127528904964928,0.725333333333333
"flow18","rapids_cuml_umap_full_direct","cuda","cuda",3,10.7477177632973,10.6208542222158,10.7515285941773,0.96461352592095,0.366777777777778,0.378274170764529,0.954
"imagenet","rapids_cuml_umap_full_direct","cuda","cuda",3,314.316558673978,313.249233205803,315.027831885032,0.766068480573284,0.227344444444444,0.0756609961461748,0.194666666666667
"mass41","rapids_cuml_umap_full_direct","cuda","cuda",3,8.14320587273687,8.14034624071791,8.15092507284134,0.967315000186616,0.339055555555556,0.300449679226527,0.889666666666667
