"dataset","cpu_graph_threads","edge_jaccard","weight_pearson","weight_spearman","weight_l1_similarity","common_initialization_procrustes_rmsd","common_initialization_procrustes_correlation"
"MetRef",4,0.999046847447934,0.999749748910544,0.999900593987545,0.999381729345212,0.00968070110796043,0.959092977374462
"COIL20",4,0.999141569497103,0.999591028221843,0.999747221968269,0.999544345653376,0.0104744044077499,0.921006533658095
"USPS",4,0.973115702584507,0.992902257852075,0.995455465683469,0.988512071779771,0.00487379799428726,0.869353512109853
"Macosko2015_retina",4,0.968059585366249,0.991021135785145,0.99623324157826,0.987601166638867,0.00207701206914531,0.903349611451062
"FashionMNIST",4,0.969163188663813,0.982962265813265,0.995299760030415,0.981411024945112,0.000287887425233413,0.997099229063739
"MNIST",4,0.960322984374585,0.977666130113673,0.993345845274228,0.977504897401121,0.0005002836312782,0.991240070089603
"TabulaMuris",4,0.989431892924941,0.993521384338537,0.998537235309383,0.995063889172936,0.00113637811165613,0.935366380251589
