"dataset","method","implementation","backend","runtime","quality","reference_runtime","reference_quality","speedup","quality_delta","panel","dataset_label","pareto_method"
"mass41","KlugerLab_FItSNE","FIt-SNE CPU (4 threads)","cpu",403.201,0.970281891755185,2307.297,0.868080374304502,5.72244860503818,0.102201517450683,"t-SNE: trustworthiness difference vs Rtsne","mass41","FIt-SNE CPU4"
"mass41","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE CPU (4 threads)","cpu",339.476,0.973045624683864,2307.297,0.868080374304502,6.79664247251647,0.104965250379362,"t-SNE: trustworthiness difference vs Rtsne","mass41","openTSNE CPU4"
"mass41","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE CUDA","cuda",5.773,0.975007975046367,2307.297,0.868080374304502,399.67036203014,0.106927600741865,"t-SNE: trustworthiness difference vs Rtsne","mass41","openTSNE CUDA"
"COIL20","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",0.615,0.544017094017094,23.495,0.581623931623932,38.2032520325203,-0.037606837606838,"UMAP: Preserve@30 difference vs uwot fast SGD","COIL-20","binary UMAP CUDA"
"COIL20","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",0.602,0.514102564102564,23.495,0.581623931623932,39.0282392026578,-0.067521367521368,"UMAP: Preserve@30 difference vs uwot fast SGD","COIL-20","fuzzy UMAP CUDA"
"COIL20","fastEmbedR_umap_cpu_binary_full","fastEmbedR binary UMAP CPU (4 threads)","cpu",13.705,0.438034188034188,23.495,0.581623931623932,1.7143378329077,-0.143589743589744,"UMAP: Preserve@30 difference vs uwot fast SGD","COIL-20","binary UMAP CPU4"
"COIL20","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",13.469,0.48482905982906,23.495,0.581623931623932,1.74437597445987,-0.096794871794872,"UMAP: Preserve@30 difference vs uwot fast SGD","COIL-20","fuzzy UMAP CPU4"
"FashionMNIST","fastEmbedR_umap_cuda_binary_full","fastEmbedR binary UMAP CUDA","cuda",1.04,0.58608776844071,61.679,0.545331465919701,59.3067307692308,0.0407563025210089,"UMAP: Preserve@30 difference vs uwot fast SGD","Fashion-MNIST","binary UMAP CUDA"
"FashionMNIST","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR fuzzy UMAP CPU (4 threads)","cpu",47.722,0.580999066293184,61.679,0.545331465919701,1.29246469133733,0.0356676003734829,"UMAP: Preserve@30 difference vs uwot fast SGD","Fashion-MNIST","fuzzy UMAP CPU4"
"FashionMNIST","fastEmbedR_umap_cuda_fuzzy_full","fastEmbedR fuzzy UMAP CUDA","cuda",0.972,0.574743230625584,61.679,0.545331465919701,63.4557613168724,0.0294117647058829,"UMAP: Preserve@30 difference vs uwot fast SGD","Fashion-MNIST","fuzzy UMAP CUDA"
