"dataset","requested_method","source_method","display","seed","profile","fallback_used","status","image_path"
"TabulaMuris","KlugerLab_FItSNE","KlugerLab_FItSNE","FIt-SNE",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/plots/TabulaMuris_KlugerLab_FItSNE_threads4_seed4.png"
"TabulaMuris","fastEmbedR_opentsne_cpu_full","fastEmbedR_opentsne_cpu_full","fastEmbedR::opentsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/plots/TabulaMuris_fastEmbedR_opentsne_cpu_full_threads4_seed4.png"
"TabulaMuris","uwot_fast_sgd","uwot_fast_sgd","uwot::umap (fast_sgd = TRUE)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/plots/TabulaMuris_uwot_fast_sgd_threads4_seed4.png"
"TabulaMuris","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR::umap (fuzzy)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/plots/TabulaMuris_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png"
"TabulaMuris","fastEmbedR_umap_cpu_binary_full","fastEmbedR_umap_cpu_binary_full","fastEmbedR::umap (binary)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/TabulaMuris/standard/cpu4/20260721_084502_1071187/plots/TabulaMuris_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png"
"Macosko2015_retina","Rtsne_full","Rtsne_full","Rtsne::Rtsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/plots/Macosko2015_retina_Rtsne_full_threads4_seed4.png"
"Macosko2015_retina","KlugerLab_FItSNE","KlugerLab_FItSNE","FIt-SNE",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/plots/Macosko2015_retina_KlugerLab_FItSNE_threads4_seed4.png"
"Macosko2015_retina","fastEmbedR_opentsne_cpu_full","fastEmbedR_opentsne_cpu_full","fastEmbedR::opentsne",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/plots/Macosko2015_retina_fastEmbedR_opentsne_cpu_full_threads4_seed4.png"
"Macosko2015_retina","uwot_fast_sgd","uwot_fast_sgd","uwot::umap (fast_sgd = TRUE)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/plots/Macosko2015_retina_uwot_fast_sgd_threads4_seed4.png"
"Macosko2015_retina","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR_umap_cpu_fuzzy_full","fastEmbedR::umap (fuzzy)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/plots/Macosko2015_retina_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png"
"Macosko2015_retina","fastEmbedR_umap_cpu_binary_full","fastEmbedR_umap_cpu_binary_full","fastEmbedR::umap (binary)",4,"cpu4",FALSE,"success","/Users/stefano/Documents/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260721_084502_1071183/plots/Macosko2015_retina_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png"
