"dataset","method","method_label","family","backend","profile","timing_interface","timing_scope","runtime_measure","n_runs","runtime","runtime_q1","runtime_q3","r_public_function_total_call_sec","r_mediated_total_call_sec","direct_python_fit_sec","direct_python_process_total_sec","dataset_label","display_label"
"imagenet","fastEmbedR_opentsne_cpu_full","fastEmbedR openTSNE","t-SNE","cpu","cpu4","R public function","full_pipeline","r_public_function_total_call_sec",3,1026.293,1022.584,1063.0515,1026.293,,,,"ImageNet","fastEmbedR openTSNE [CPU]"
"Macosko2015_retina","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.916,0.916,1.007,0.916,,,,"Retina","fastEmbedR openTSNE [CUDA]"
"MetRef","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.701,0.701,0.7405,0.701,,,,"MetRef","fastEmbedR openTSNE [CUDA]"
"FlowRepository_FR-FCM-ZYRM_files","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,90.995,90.963,91.162,90.995,,,,"FlowRepository","fastEmbedR openTSNE [CUDA]"
"MNIST","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.938,1.912,1.9645,1.938,,,,"MNIST","fastEmbedR openTSNE [CUDA]"
"USPS","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,0.767,0.7615,0.8665,0.767,,,,"USPS","fastEmbedR openTSNE [CUDA]"
"mass41","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,5.773,5.772,5.882,5.773,,,,"mass41","fastEmbedR openTSNE [CUDA]"
"COIL20","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,6.42,6.41,6.541,6.42,,,,"COIL-20","fastEmbedR openTSNE [CUDA]"
"TabulaMuris","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,3.088,3.086,3.172,3.088,,,,"Tabula Muris","fastEmbedR openTSNE [CUDA]"
"flow18","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,5.471,5.44,5.5625,5.471,,,,"flow18","fastEmbedR openTSNE [CUDA]"
"FashionMNIST","fastEmbedR_opentsne_cuda_full","fastEmbedR openTSNE","t-SNE","cuda","cuda","R public function","full_pipeline","r_public_function_total_call_sec",3,1.868,1.8655,1.9165,1.868,,,,"Fashion-MNIST","fastEmbedR openTSNE [CUDA]"
"COIL20","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,36.631,35.3375,38.602,,36.631,,,"COIL-20","Python openTSNE via R (total call) [CPU]"
"FashionMNIST","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,120.127,119.67,121.907,,120.127,,,"Fashion-MNIST","Python openTSNE via R (total call) [CPU]"
"MNIST","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,156.313,156.0345,157.226,,156.313,,,"MNIST","Python openTSNE via R (total call) [CPU]"
"Macosko2015_retina","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,75.343,72.79,78.1375,,75.343,,,"Retina","Python openTSNE via R (total call) [CPU]"
"MetRef","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,18.305,18.0775,22.2015,,18.305,,,"MetRef","Python openTSNE via R (total call) [CPU]"
"TabulaMuris","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,94.445,92.86,97.795,,94.445,,,"Tabula Muris","Python openTSNE via R (total call) [CPU]"
"USPS","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",2,47.8005,47.11975,48.48125,,47.8005,,,"USPS","Python openTSNE via R (total call) [CPU]"
"flow18","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,622.765,594.62,640.053,,622.765,,,"flow18","Python openTSNE via R (total call) [CPU]"
"mass41","python_opentsne_fft","Python openTSNE via R (total call)","t-SNE","cpu","cpu4","R/reticulate","r_mediated_total_call","r_mediated_total_call_sec",3,576.581,533.587,605.0825,,576.581,,,"mass41","Python openTSNE via R (total call) [CPU]"
"COIL20","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,30.9538748310879,30.3245661696419,32.018502243096,,,30.9538748310879,32.444,"COIL-20","Python openTSNE direct (fit only) [CPU]"
"FashionMNIST","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,109.011737803929,108.550643150462,111.20113939885,,,109.011737803929,110.682,"Fashion-MNIST","Python openTSNE direct (fit only) [CPU]"
"MNIST","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,149.059720859863,147.878489239957,150.988541688421,,,149.059720859863,150.551,"MNIST","Python openTSNE direct (fit only) [CPU]"
"Macosko2015_retina","python_opentsne_fft_direct","Python openTSNE direct (fit only)","t-SNE","cpu","cpu4","direct Python","direct_python_fit","direct_python_fit_sec",3,65.9533350327983,64.160100797424,67.6423673573881,,,65.9533350327983,66.733,"Retina","Python openTSNE direct (fit only) [CPU]"
